Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
50,华中师范大学,暴力打牌 (BFDP ),7,874,+1(8),,,,+5(292),+1(13),,+5(219),+1(93),+1(55),,+1(34),-7
51,东北大学,测试账号 (Test ),7,910,+1(2),,,,+1(204),+1(20),,+4(288),+1(116),+4(69),,+1(91),-4
52,浙江财经大学,新新月光 (new new moonlight ),7,913,+1(0),,,,+5(272),+1(15),,+4(246),+1(139),+1(62),,+1(39),-2
53,华南农业大学,SCAU_华山养老队 (SCAU_Huashan Old-age Group ),7,937,+1(2),,,,+3(260),+1(22),,+1(294),+1(128),+1(69),,+2(102),-3
54,华南理工大学,苟·德川家康·薛定谔 (SCUT_Bilibili ),7,942,+1(6),,,,+2(253),+1(35),,+1(202),+1(155),+3(121),,+1(110),-12
55,华东师范大学,稳住我们能赢 (do you have any b tree ),7,949,+1(3),,,,+6(297),+1(25),,-10,+1(101),+1(55),,+1(38),+4(270)
56,厦门大学,以下各队 (Teams Below ),7,994,+1(10),,,,-11,+1(8),,+1(235),+2(111),+1(50),,+1(149),+7(291)
57,西安电子科技大学,可读可写不可执行 (-rw-rw-rw-- ),7,1011,+1(0),,,,,+1(20),,+3(186),+1(276),+2(65),,+1(74),+3(290)
58,四川大学,红枣香蕉 (Jujube and banana ),7,1074,+1(0),,,,+3(230),+2(42),,+3(271),+2(142),+3(59),,+1(170),-4
59,重庆邮电大学,唐红的恋歌 (The Crimson Love Letter ),7,1090,+1(1),,,,+11(298),+1(18),,+1(183),+1(144),+2(89),,+1(137),
60,河海大学,在这炸丸子正宗 (zzzwzzz ),6,457,+1(0),,,,,+2(20),,+1(174),-12,+1(112),,+1(32),+1(99)
61,北京邮电大学,荆棘夜侠 (Shadow Knight ),6,499,+1(0),,,,,+2(16),,+1(179),+1(140),+2(81),,+1(43),-13
61,北京邮电大学,格林兄弟 (Brothers Grimm ),6,499,+1(2),,,,,+1(13),,+1(214),+1(134),+2(52),,+1(64),-13
63,浙江工业大学,乌托邦 (Utopian ),6,500,+1(0),,,,-5,+1(10),,+3(288),+1(82),+1(29),,+1(51),-5
64,哈尔滨工业大学（威海）,深渊漫步者 (Artorias ),6,504,+1(1),,,,-3,+1(15),,+1(194),+1(126),+1(56),,+1(112),
65,杭州电子科技大学,HDU-Freshmen2017 (HDU-Freshmen2017 ),6,515,+1(10),,,-1,-1,+1(15),,+1(200),+1(137),+1(71),,+1(82),-2
66,吉林大学,代码跑地比谁都快 (Hong Kong Coder ),6,525,+1(1),,,,,+1(11),,+2(263),+1(111),+2(37),,+1(62),-3
