Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
75,Silver,山东科技大学,无畏号,5,734,+2(12),,,+1(266),,,+2(158),,+1(171),+2(87),,,-1
76,Silver,上海大学,心动网络-潜心队,5,754,+1(74),,,+1(159),,,+2(268),,+1(105),+4(68),,,
77,Silver,湖北工业大学,缺俩上单,5,757,+3(9),,,+1(213),-2,,+1(178),,+6(182),+1(35),-4,,
78,Silver,北京航空航天大学,啊，队友呢？队友呢？队友呢？！队友呢？！？！,5,827,+2(46),,,-4,-2,,+2(211),,+4(100),+1(74),+1(296),,-2
79,Silver,中国石油大学（华东）,巅峰之战,5,852,+1(13),,,,,,+6(303),,+1(70),+1(23),,,+5(283)
80,Silver,华南理工大学,入娄约木货是复读机,5,891,+2(25),,,+3(298),,,+4(215),,+2(130),+2(103),,,
81,Silver,东华大学,咨瓷,5,903,+1(16),,,+1(219),,,+4(262),,+6(180),+2(46),,,-1
82,Silver,西安交通大学,大葱对感冒也有好处,5,905,+2(11),,,+3(252),,,+3(232),,+2(207),+1(83),-4,,
83,Silver,青岛大学,脱氧核糖核酸,5,919,+5(112),,,+1(223),,,+3(231),,+3(169),+1(44),,,
84,Silver,鲁东大学,星星之火,5,927,+2(47),,,+1(265),,,+1(300),,+2(190),+1(85),,,
85,Silver,武汉大学,Hellokitty好可爱啊,5,940,+4(16),,,+5(292),,,+5(261),,+1(111),+1(140),,,
86,Silver,杭州电子科技大学,HDU-Team8,5,943,+3(43),,,+4(305),,,+2(214),,+2(157),+3(104),,,
87,Silver,苏州大学,键盘冒奶,5,980,+2(11),,,+1(214),-1,,+5(299),,+1(174),+1(182),,,
88,Silver,宁波大学,蛤蝼世界,5,1004,+3(81),,,+3(279),,,+1(293),,+2(143),+1(108),,,
89,Silver,华东理工大学,瑟瑟发抖,5,1042,+5(223),,-3,+1(182),,,+5(293),,+1(102),+2(62),,,-2
90,Silver,南京理工大学,这题真白,5,1049,+3(25),,,+5(304),,,+2(268),,+3(166),+3(126),,,
91,Silver,深圳大学,自动AC机,5,1118,+2(50),,,+1(293),,,+5(201),,+7(248),+4(86),,,
92,Silver,温州大学,阿尔法队,4,258,+1(32),,-1,+1(91),,,,,+1(57),+1(78),,,-12
93,Silver,河南工业大学,你是哪块小饼干,4,268,+1(25),,,+1(122),,,-7,,+1(78),+1(43),,,
94,Bronze,福州大学,游戏人生,4,291,+3(13),,,-5,,,+1(109),,+1(76),+1(53),,,
95,Bronze,山东理工大学,空之轨迹,4,308,+3(28),,,+1(137),,,-5,,+1(71),+1(52),,,-2
96,Bronze,东北林业大学,有何贵干,4,328,+2(12),,,+2(183),,,-6,,+1(62),+1(31),,,
97,Bronze,广东工业大学,脖子疼的向日葵,4,344,+1(11),,,+1(195),,,-4,,+1(89),+1(49),,,
98,Bronze,安徽大学,Amadeus,4,349,+1(20),,,,-1,,+1(163),,+3(89),+1(37),,,-2
99,Bronze,华南农业大学,德国骨科,4,393,+2(27),,,-4,,,+3(179),,+1(79),+1(48),,,
100,Bronze,华东师范大学,龙卷风摧毁停车场,4,400,+2(32),,,-23,-2,,+1(111),,+3(133),+1(64),,,
101,Bronze,中国海洋大学,的皪,4,401,+1(18),,,,,,+2(169),,+2(100),+2(54),-4,,
102,Bronze,重庆邮电大学,十里坡键神,4,405,+3(18),,,-1,-1,,+1(117),,+3(148),+1(42),-1,,
