Rank,Medal,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M
414,,成都东软学院,雷阵雨,3,717,+3(74),,,,+6(241),,,,,+4(202),-2,,
415,,西南石油大学（南充校区）,WA哪咋办嘛,3,723,+8(114),,,,+6(198),,,,,+2(151),-9,,
416,,北京电子科技学院,新手上路,3,751,+2(52),,,,+7(245),,,,,+4(254),-7,,
417,,浙江科技学院,队长他她它又双叒叒不见了,3,796,+2(44),,,,+19(297),,,,,+1(75),-1,,
418,,河北大学,HBUAC,3,825,+5(131),-4,,-10,+3(112),,,,,+11(262),-7,,
419,,上海建桥学院,双曲正切队,3,847,+8(37),-2,,,+8(240),,,,,+9(130),-13,,
420,,宁夏大学,宁一,3,923,+5(80),,,,+11(275),,,,,+5(208),-2,,
421,,上海第二工业大学,清梦星河,2,77,+1(23),,,,+1(54),,,,,-20,-2,,
422,,南京林业大学,彳亍,2,103,+1(26),,,,+1(77),,,,,-4,-2,,
423,,中国传媒大学,青青草原三键客,2,123,+1(31),,,,+1(92),,,,,-6,-2,,
424,,江西师范大学,胡乱AC,2,140,+1(28),,,,+2(92),,,,,-7,-4,,
425,,贺州学院,长寿贺州,2,141,+1(21),,,,+1(120),,,,,-7,-2,,
426,,长沙理工大学,不知道又一个随便名字,2,142,+2(24),,,,+2(78),,-10,,,-8,-1,,
427,,常熟理工学院,AK但没完全AC,2,150,+2(44),,,,+1(86),,,,,-1,-2,,
428,,湖北工业大学,云天明,2,157,+2(50),,,,+1(87),,,,,-3,-1,,-1
429,,中国石油大学胜利学院,千里迢迢,2,160,+2(52),,,,+2(68),,,,,-34,-1,,
430,,云南大学,神奇队,2,161,+2(15),,,,+2(106),,,,,-4,-6,,
430,,西华师范大学,理想,2,161,+1(52),,,,+1(109),,,,,-1,-2,,
432,,内蒙古科技大学,三只米兔,2,179,+1(38),,,,+1(141),,,,,-10,-1,,
433,,宁夏大学,宁四,2,199,+3(60),,,,+1(99),,,,,,,,
